,ins_74901673,task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,j_217,10,Terminated,673795,673797,m_2637,1,1.1,13,16,0.02,0.02.1
229,ins_1173697719,M1,j_2014,1,Terminated,372602,372615,m_1748,1,1,92.0,154.0,0.05,0.05
230,ins_1349025112,M1,j_2014,1,Terminated,372602,372617,m_1271,1,1,83.0,119.0,0.05,0.05
231,ins_408670371,M1,j_2014,1,Terminated,372602,372674,m_1742,1,1,73.0,106.0,0.05,0.05
232,ins_685635508,M1,j_2014,1,Terminated,372602,372613,m_2232,1,1,102.0,145.0,0.05,0.05
233,ins_1176719188,M1,j_2014,1,Terminated,372602,372615,m_1558,1,1,95.0,149.0,0.05,0.05
234,ins_1010970302,M1,j_2014,1,Terminated,372602,372612,m_2055,1,1,109.0,161.0,0.05,0.05
235,ins_1257960198,M1,j_2014,1,Terminated,372602,372615,m_2788,1,1,87.0,137.0,0.05,0.05
236,ins_4567729,M1,j_2014,1,Terminated,372603,372618,m_511,1,1,83.0,133.0,0.05,0.05
237,ins_770023634,M1,j_2014,1,Terminated,372603,372615,m_3151,1,1,93.0,133.0,0.05,0.05
238,ins_688680123,M1,j_2014,1,Terminated,372602,372614,m_1997,1,1,96.0,125.0,0.05,0.05
239,ins_646069462,M1,j_2014,1,Terminated,372603,372618,m_2176,1,1,78.0,113.0,0.05,0.05
240,ins_408670878,M1,j_2014,1,Terminated,372603,372626,m_1443,1,1,85.0,125.0,0.05,0.06
241,ins_914884044,M1,j_2014,1,Terminated,372603,372616,m_313,1,1,91.0,138.0,0.05,0.05
242,ins_492639462,M1,j_2014,1,Terminated,372603,372617,m_2215,1,1,84.0,108.0,0.05,0.05
243,ins_1077554754,M1,j_2014,1,Terminated,372604,372622,m_1281,1,1,69.0,107.0,0.04,0.05
244,ins_646006493,M1,j_2014,1,Terminated,372602,372612,m_1516,1,1,109.0,146.0,0.05,0.05
245,ins_1158931961,M1,j_2014,1,Terminated,372602,372613,m_3581,1,1,101.0,131.0,0.05,0.05
246,ins_1204218718,M1,j_2014,1,Terminated,372604,372618,m_1687,1,1,83.0,99.0,0.04,0.05
